lookup_id,status,attend,event_id
1,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
1,Will not attend,No,90927b93-07cf-4d47-bc16-1e0da1bc5576
100000,Registered,Yes,90927b93-07cf-4d47-bc16-1e0da1bc5576
100000,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100000,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
100001,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
100001,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100004,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100005,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100004,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
100006,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100006,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
100006,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100007,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
100007,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
102584,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100007,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100007,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100007,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100007,Registered,Yes,e929ea71-44ac-4fb1-b831-33a00fc649e7
100008,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100008,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100008,Canceled,No,e929ea71-44ac-4fb1-b831-33a00fc649e7
100008,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100008,Registered,No,21327acb-aa7d-4000-9532-0a9c864addd3
100009,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100009,Registered,Yes,90927b93-07cf-4d47-bc16-1e0da1bc5576
100009,Registered,Yes,e929ea71-44ac-4fb1-b831-33a00fc649e7
100009,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100010,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100010,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100010,Registered,Yes,e929ea71-44ac-4fb1-b831-33a00fc649e7
100274,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100814,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100851,Registered,Yes,e929ea71-44ac-4fb1-b831-33a00fc649e7